"plot_id","genotype","environment","replicate","range","row","yield"
"CS17-DG2F-307","F42/H95","DG2F",6,13,395,11.36701264
"CS17-DG2F-308","LH212HT/LH195","DG2F",6,13,397,11.53090859
"CS17-DG2F-309","B73/MO17","DG2F",6,14,397,9.599757007
"CS17-DG2F-310","GEMN-0268/3IIH6","DG2F",6,14,395,9.642808815
"CS17-DG2F-311","W10005_0107/PHB47","DG2F",6,14,393,9.315632561
"CS17-DG2F-312","PHN11_PHG47_0251/PHB47","DG2F",6,14,391,7.016063596
"CS17-DG2F-313","W10004_0216/PHZ51","DG2F",6,14,389,NA
"CS17-DG2F-314","PHN11_OH43_0001/PHB47","DG2F",6,14,387,8.202423469
"CS17-DG2F-315","B73/PHM49","DG2F",6,14,385,11.42265459
"CS17-DG2F-316","F42/OH43","DG2F",6,14,383,12.06458714
"CS17-DG2F-317","W10001_0022/PHB47","DG2F",6,14,381,8.413762618
"CS17-DG2F-318","LH198/PHZ51","DG2F",6,14,379,9.324983098
"CS17-DG2F-319","NILASQ4G41I03S2/LH123HT","DG2F",6,14,377,9.715762903
"CS17-DG2F-320","NILASQ4G41I02S3/LH123HT","DG2F",6,14,375,12.37697896
"CS17-DG2F-321","2369/LH123HT","DG2F",6,14,373,10.8921817
"CS17-DG2F-322","2369/LH123HT","DG2F",6,14,371,12.04037033
"CS17-DG2F-323","NILASQ4G41I11S2/LH123HT","DG2F",6,14,369,12.29440556
"CS17-DG2F-324","NILASQ4G41I12S3/LH123HT","DG2F",6,14,367,10.70907783
"CS17-DG2F-325","NILASQ4G41I05S3/LH123HT","DG2F",6,14,365,13.18467952
"CS17-DG2F-326","NILASQ4G41I06S3/LH123HT","DG2F",6,14,363,NA
"CS17-DG2F-327","NILASQ4G41I04S3/LH123HT","DG2F",6,14,361,11.53452949
"CS17-DG2F-328","NILASQ4G41I09S2/LH123HT","DG2F",6,14,359,11.67362692
"CS17-DG2F-329","NILASQ4G41I08S2/LH123HT","DG2F",6,14,357,11.6297186
"CS17-DG2F-330","NILASQ4G41I01S2/LH123HT","DG2F",6,14,355,11.19113011
"CS17-DG2F-331","NILASQ4G41I07S2/LH123HT","DG2F",6,14,353,9.773618681
"CS17-DG2F-332","NILASQ4G41I10S2/LH123HT","DG2F",6,14,351,11.45183846
"CS17-DG2F-333","2369/LH123HT","DG2F",6,14,349,10.56748944
